method,threads,time_seconds
Block,1,10.5939
Dynamic,1,10.5917
Mutex,1,10.5945
Block,2,5.31091
Dynamic,2,5.33623
Mutex,2,5.34378
Block,4,5.29301
Dynamic,4,2.72202
Mutex,4,2.72247
Block,6,5.03941
Dynamic,6,1.84843
Mutex,6,1.84979
Block,8,4.33476
Dynamic,8,1.42336
Mutex,8,1.43066
Block,10,3.71828
Dynamic,10,1.27872
Mutex,10,1.21598
Block,12,3.25253
Dynamic,12,1.06655
Mutex,12,1.00184
Block,14,2.89559
Dynamic,14,0.909916
Mutex,14,0.851445
Block,16,2.61287
Dynamic,16,0.798656
Mutex,16,0.770854
Block,32,1.49626
Dynamic,32,0.782384
Mutex,32,0.712799
Block,64,0.987073
Dynamic,64,0.717121
Mutex,64,0.697677
Block,128,0.813143
Dynamic,128,0.715824
Mutex,128,0.696818
Block,256,0.726077
Dynamic,256,0.706412
Mutex,256,0.700063
Block,16,2.61683
Dynamic,16,0.815748
Mutex,16,0.756889
Block,16,0.102217
Dynamic,16,0.0394605
Mutex,16,0.0303344
Block,16,10.0217
Dynamic,16,3.08669
Mutex,16,2.89153
