method,threads,size,time_seconds
Guided,2,10000,5.89882
Static,2,10000,5.42524
Dynamic,2,10000,5.88274
Guided,4,10000,2.88612
Static,4,10000,5.40704
Dynamic,4,10000,2.90468
Guided,8,10000,1.60221
Static,8,10000,4.47712
Dynamic,8,10000,1.65093
Guided,16,10000,0.842514
Static,16,10000,2.72612
Dynamic,16,10000,0.81051
Guided,2,5000,1.49477
Static,2,5000,1.36104
Dynamic,2,5000,1.50014
Guided,4,5000,0.734847
Static,4,5000,1.37602
Dynamic,4,5000,0.739809
Guided,8,5000,0.401402
Static,8,5000,1.16658
Dynamic,8,5000,0.403494
Guided,16,5000,0.220553
Static,16,5000,0.713504
Dynamic,16,5000,0.206903
Guided,2,1000,0.060379
Static,2,1000,0.054873
Dynamic,2,1000,0.0594959
Guided,4,1000,0.0308831
Static,4,1000,0.0643499
Dynamic,4,1000,0.0298588
Guided,8,1000,0.017123
Static,8,1000,0.051162
Dynamic,8,1000,0.0157449
Guided,16,1000,0.0107899
Static,16,1000,0.0249922
Dynamic,16,1000,0.00775099
