method,threads,size,blockSize,time_seconds
Guided,8,5000,1,0.402337
Guided,8,5000,2,0.800631
Guided,8,5000,4,1.19869
Guided,8,5000,8,1.59714
Guided,8,5000,16,1.99671
Guided,8,5000,32,2.39579
Guided,8,5000,64,2.7959
Guided,8,5000,128,3.20684
Guided,8,5000,256,3.87892
Static,8,5000,1,0.343719
Static,8,5000,2,0.68222
Static,8,5000,4,1.02106
Static,8,5000,8,1.36062
Static,8,5000,16,1.70255
Static,8,5000,32,2.05586
Static,8,5000,64,2.40609
Static,8,5000,128,2.76167
Static,8,5000,256,3.43348
Dynamic,8,5000,1,0.402903
Dynamic,8,5000,2,0.802116
Dynamic,8,5000,4,1.20088
Dynamic,8,5000,8,1.59958
Dynamic,8,5000,16,1.99843
Dynamic,8,5000,32,2.39797
Dynamic,8,5000,64,2.79808
Dynamic,8,5000,128,3.20906
Dynamic,8,5000,256,3.88171
