Name,Threads,Size,BlockSize,AvgTime
UlamBlocks,1,1024,64,0.0902592
UlamBlocks,1,1024,128,0.0899056
UlamBlocks,1,1024,256,0.089806
UlamBlocks,1,1024,512,0.0897262
UlamBlocks,2,1024,64,0.045334
UlamBlocks,2,1024,128,0.0450194
UlamBlocks,2,1024,256,0.0453164
UlamBlocks,2,1024,512,0.0449654
UlamBlocks,4,1024,64,0.0227154
UlamBlocks,4,1024,128,0.0227552
UlamBlocks,4,1024,256,0.0258618
UlamBlocks,4,1024,512,0.0226286
UlamBlocks,8,1024,64,0.011525
UlamBlocks,8,1024,128,0.0118604
UlamBlocks,8,1024,256,0.0129914
UlamBlocks,8,1024,512,0.022519
UlamBlocks,16,1024,64,0.0112306
UlamBlocks,16,1024,128,0.0123326
UlamBlocks,16,1024,256,0.0132322
UlamBlocks,16,1024,512,0.0394888
UlamBlocksNest,1,1024,64,0.0925354
UlamBlocksNest,1,1024,128,0.091129
UlamBlocksNest,1,1024,256,0.0911628
UlamBlocksNest,1,1024,512,0.0909296
UlamBlocksNest,2,1024,64,0.0237928
UlamBlocksNest,2,1024,128,0.0237862
UlamBlocksNest,2,1024,256,0.0245504
UlamBlocksNest,2,1024,512,0.026131
UlamBlocksNest,4,1024,64,0.0133784
UlamBlocksNest,4,1024,128,0.013288
UlamBlocksNest,4,1024,256,0.0134882
UlamBlocksNest,4,1024,512,0.013157
UlamBlocksNest,8,1024,64,0.018889
UlamBlocksNest,8,1024,128,0.0172528
UlamBlocksNest,8,1024,256,0.0192028
UlamBlocksNest,8,1024,512,0.0254158
UlamBlocksNest,16,1024,64,0.0553786
UlamBlocksNest,16,1024,128,0.0338498
UlamBlocksNest,16,1024,256,0.0320839
UlamBlocksNest,16,1024,512,0.0443896
