method,threads,size,blockSize,time_seconds
Static,8,5000,1,0.335213
Static,8,5000,2,0.326158
Static,8,5000,4,0.326487
Static,8,5000,8,0.33211
Static,8,5000,16,0.334279
Static,8,5000,32,0.349923
Static,8,5000,64,0.394261
Static,8,5000,128,0.381974
Static,8,5000,256,0.495078
Static,8,5000,1,0.326648
Static,8,5000,2,0.32493
Static,8,5000,4,0.32464
Static,8,5000,8,0.329143
Static,8,5000,16,0.337784
Static,8,5000,32,0.353383
Static,8,5000,64,0.392565
Static,8,5000,128,0.401983
Static,8,5000,256,0.453913
