size, time
1200, 0.0162075
2400, 0.0451723
3600, 0.0987139
4800, 0.186554
6000, 0.313052
7200, 0.482284
8400, 0.704745
9600, 0.984438
10800, 1.32795
12000, 1.73546
13200, 2.23135
14400, 2.81866
15600, 3.46661
16800, 4.23232
18000, 5.07677
1200, 0.0154746
2400, 0.0408228
3600, 0.0988524
4800, 0.187874
6000, 0.31639
7200, 0.4814
8400, 0.703754
9600, 0.982589
10800, 1.32614
12000, 1.73674
13200, 2.21312
14400, 2.77651
15600, 3.44106
16800, 4.21926
1200, 0.0154998
2400, 0.0408078
3600, 0.0974334
4800, 0.187465
6000, 0.316073
7200, 0.480534
8400, 0.713761
9600, 1.013
10800, 1.33549
12000, 1.75684
13200, 2.23147
14400, 2.7736
15600, 3.43392
16800, 4.20684
18000, 5.01514
