size, time
1200, 0.0206716
2400, 0.0381835
3600, 0.0977461
4800, 0.223084
6000, 0.43002
7200, 0.748879
8400, 1.17307
9600, 1.6405
10800, 2.30461
12000, 3.17329
13200, 4.08823
14400, 5.33879
15600, 6.71998
16800, 8.48139
18000, 10.351
1200, 0.0187538
2400, 0.0561012
3600, 0.100889
4800, 0.215329
6000, 0.404097
7200, 0.680997
8400, 1.07519
9600, 1.58278
10800, 2.24893
12000, 3.14176
13200, 4.14474
14400, 5.30605
15600, 6.70065
16800, 8.35001
18000, 10.2348
1200, 0.0172454
2400, 0.0403283
3600, 0.0977704
4800, 0.214121
6000, 0.405527
7200, 0.681818
8400, 1.07204
9600, 1.5847
10800, 2.24481
12000, 3.10605
