threads, size, time
12, 3600, 2.38795
8, 3600, 3.25945
6, 3600, 4.23407
4, 3600, 6.41987
2, 3600, 11.4542
1, 3600, 22.4398
12, 2400, 0.696749
8, 2400, 0.949565
6, 2400, 1.24105
4, 2400, 1.87738
2, 2400, 3.34102
1, 2400, 6.53604
12, 4800, 30.1428

-, 1200, 0.0162075
-, 2400, 0.0451723
-, 3600, 0.0987139
-, 4800, 0.186554
-, 6000, 0.313052
-, 7200, 0.482284
-, 8400, 0.704745
-, 9600, 0.984438
-, 10800, 1.32795
-, 12000, 1.73546
-, 13200, 2.23135
-, 14400, 2.81866
-, 15600, 3.46661
-, 16800, 4.23232
-, 18000, 5.07677
